OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount_Pct,TotalAmount,PaymentMode,OrderStatus,RegionID
ORD10001,01-11-2020,C0493,P003,1,15399.3,10,13859.37,Cash,Delivered,R12
ORD10002,13-11-2020,C0347,P026,2,4199.3,20,6718.88,Net Banking,Delivered,R01
ORD10003,12-07-2020,C0028,P004,2,20999.3,12,36958.77,Net Banking,Delivered,R02
ORD10004,26-09-2020,C0231,P016,7,80.5,0,563.5,Debit Card,Delivered,R12
ORD10005,20-01-2020,C0152,P022,3,2449.3,8,6760.07,UPI,Delivered,R06
ORD10006,13-03-2020,C0163,P012,5,294,2,1440.6,UPI,Delivered,R01
ORD10007,06-02-2020,C0221,P019,7,574,0,4018,Cash,Delivered,R19
ORD10008,20-02-2020,C0402,P007,2,41299.3,2,80946.63,UPI,Delivered,R02
ORD10009,29-11-2020,C0125,P013,3,122.5,8,338.1,Cash,Delivered,R12
ORD10010,06-02-2020,C0223,P005,1,34999.3,0,34999.3,Cash,Delivered,R16
ORD10011,20-09-2020,C0316,P002,2,59499.3,0,118998.6,Net Banking,Delivered,R02
ORD10012,26-09-2020,C0442,P006,1,38499.3,0,38499.3,UPI,Returned,R10
ORD10013,11-03-2020,C0091,P026,4,4199.3,5,15957.34,Debit Card,Delivered,R03
ORD10014,26-04-2020,C0202,P020,10,168,5,1596,Cash,Delivered,R10
ORD10015,24-01-2020,C0237,P024,3,839.3,5,2392,Debit Card,Delivered,R05
ORD10016,16-06-2020,C0072,P014,3,16.8,8,46.37,UPI,Delivered,R10
ORD10017,20-07-2020,C0246,P019,7,574,5,3817.1,Debit Card,Delivered,R18
ORD10018,18-11-2020,C0305,P012,4,294,18,964.32,Debit Card,Delivered,R06
ORD10019,19-09-2020,C0331,P017,7,336,0,2352,Cash,Delivered,R13
ORD10020,17-07-2020,C0286,P020,8,168,10,1209.6,UPI,Delivered,R13
ORD10021,17-09-2020,C0078,P001,1,17499.3,0,17499.3,UPI,Cancelled,R16
ORD10022,24-02-2020,C0073,P006,1,38499.3,5,36574.33,Credit Card,Delivered,R13
ORD10023,23-06-2020,C0232,P005,1,34999.3,0,34999.3,Debit Card,Delivered,R06
ORD10024,06-10-2020,C0477,P024,2,839.3,15,1426.81,Cash,Delivered,R10
ORD10025,08-12-2020,C0409,P013,7,122.5,2,840.35,Cash,Delivered,R08
ORD10026,19-03-2020,C0220,P014,5,16.8,10,75.6,Debit Card,Delivered,R11
ORD10027,26-08-2020,C0447,P016,4,80.5,2,315.56,Cash,Delivered,R12
ORD10028,31-07-2020,C0328,P007,1,41299.3,10,37169.37,UPI,Delivered,R12
ORD10029,22-03-2020,C0362,P030,1,6299.3,8,5795.36,Cash,Delivered,R14
ORD10030,06-05-2020,C0192,P019,7,574,5,3817.1,Cash,Delivered,R13
ORD10031,21-03-2020,C0276,P013,8,122.5,0,980,Cash,Delivered,R06
ORD10032,02-07-2020,C0444,P011,3,209.3,8,577.67,Debit Card,Cancelled,R16
ORD10033,16-07-2020,C0210,P017,8,336,8,2472.96,Cash,Delivered,R20
ORD10034,10-10-2020,C0017,P009,1,7699.3,20,6159.44,Credit Card,Delivered,R05
ORD10035,18-10-2020,C0262,P002,2,59499.3,15,101148.81,Debit Card,Delivered,R03
ORD10036,18-10-2020,C0112,P022,2,2449.3,10,4408.74,Debit Card,Delivered,R10
ORD10037,28-04-2020,C0419,P002,1,59499.3,10,53549.37,Debit Card,Delivered,R07
ORD10038,20-11-2020,C0324,P020,4,168,20,537.6,Cash,Delivered,R02
ORD10039,09-05-2020,C0306,P016,5,80.5,5,382.38,Cash,Returned,R15
ORD10040,22-12-2020,C0418,P007,2,41299.3,10,74338.74,Debit Card,Delivered,R08
ORD10041,05-02-2020,C0365,P004,2,20999.3,0,41998.6,Credit Card,Delivered,R12
ORD10042,15-06-2020,C0039,P012,9,294,8,2434.32,Cash,Returned,R15
ORD10043,31-05-2020,C0250,P001,2,17499.3,8,32198.71,Debit Card,Delivered,R04
ORD10044,18-01-2020,C0204,P007,2,41299.3,10,74338.74,UPI,Delivered,R04
ORD10045,05-08-2020,C0290,P026,1,4199.3,0,4199.3,Cash,Delivered,R20
ORD10046,04-07-2020,C0476,P028,1,489.3,12,430.58,Cash,Delivered,R06
ORD10047,21-02-2020,C0155,P005,2,34999.3,0,69998.6,Cash,Delivered,R04
ORD10048,02-09-2020,C0203,P014,2,16.8,8,30.91,Cash,Delivered,R18
ORD10049,19-01-2020,C0116,P018,1,147,10,132.3,Debit Card,Cancelled,R02
ORD10050,05-06-2020,C0245,P007,1,41299.3,0,41299.3,UPI,Returned,R04
ORD10051,25-02-2020,C0417,P023,2,1049.3,0,2098.6,Credit Card,Delivered,R11
ORD10052,15-09-2020,C0180,P013,10,122.5,8,1127,UPI,Delivered,R16
ORD10053,05-11-2020,C0386,P007,2,41299.3,10,74338.74,Debit Card,Delivered,R13
ORD10054,08-09-2020,C0284,P020,1,168,10,151.2,Debit Card,Returned,R14
ORD10055,20-03-2020,C0261,P007,1,41299.3,10,37169.37,Debit Card,Cancelled,R06
ORD10056,04-07-2020,C0124,P020,9,168,5,1436.4,Net Banking,Returned,R02
ORD10057,28-02-2020,C0430,P016,8,80.5,10,579.6,Cash,Delivered,R07
ORD10058,07-01-2020,C0021,P027,3,769.3,12,2030.95,UPI,Delivered,R09
ORD10059,18-09-2020,C0316,P002,1,59499.3,5,56524.33,Net Banking,Cancelled,R08
ORD10060,11-03-2020,C0201,P012,7,294,8,1893.36,Net Banking,Delivered,R10
ORD10061,30-04-2020,C0223,P010,2,25899.3,8,47654.71,Debit Card,Delivered,R08
ORD10062,23-02-2020,C0071,P013,6,122.5,5,698.25,Credit Card,Delivered,R17
ORD10063,12-04-2020,C0065,P015,1,185.5,0,185.5,Debit Card,Delivered,R08
ORD10064,23-01-2020,C0500,P012,8,294,10,2116.8,Cash,Returned,R17
ORD10065,06-03-2020,C0131,P030,1,6299.3,0,6299.3,Debit Card,Delivered,R13
ORD10066,01-11-2020,C0126,P006,1,38499.3,8,35419.36,Net Banking,Returned,R11
ORD10067,30-08-2020,C0366,P017,6,336,0,2016,UPI,Delivered,R13
ORD10068,03-04-2020,C0293,P019,3,574,0,1722,Debit Card,Cancelled,R07
ORD10069,03-12-2020,C0450,P015,6,185.5,0,1113,Credit Card,Delivered,R10
ORD10070,19-03-2020,C0402,P010,2,25899.3,0,51798.6,Credit Card,Delivered,R08
ORD10071,07-10-2020,C0376,P024,1,839.3,12,738.58,Cash,Delivered,R02
ORD10072,23-09-2020,C0450,P006,2,38499.3,10,69298.74,Debit Card,Delivered,R01
ORD10073,08-03-2020,C0215,P011,5,209.3,0,1046.5,Cash,Delivered,R03
ORD10074,14-11-2020,C0359,P028,1,489.3,15,415.9,Cash,Delivered,R20
ORD10075,03-11-2020,C0304,P017,4,336,10,1209.6,Cash,Delivered,R01
ORD10076,23-11-2020,C0426,P016,5,80.5,8,370.3,Cash,Delivered,R16
ORD10077,19-10-2020,C0056,P003,2,15399.3,10,27718.74,UPI,Delivered,R12
ORD10078,07-12-2020,C0232,P005,1,34999.3,0,34999.3,Debit Card,Delivered,R08
ORD10079,20-10-2020,C0021,P006,1,38499.3,18,31569.43,Cash,Delivered,R03
ORD10080,22-08-2020,C0154,P003,2,15399.3,10,27718.74,Credit Card,Delivered,R04
ORD10081,15-04-2020,C0053,P023,1,1049.3,0,1049.3,Debit Card,Cancelled,R08
ORD10082,27-02-2020,C0206,P012,2,294,0,588,Net Banking,Delivered,R11
ORD10083,26-09-2020,C0066,P006,1,38499.3,2,37729.31,Cash,Returned,R08
ORD10084,24-06-2020,C0203,P017,3,336,0,1008,Cash,Delivered,R18
ORD10085,29-04-2020,C0077,P010,2,25899.3,2,50762.63,UPI,Delivered,R08
ORD10086,09-01-2020,C0197,P004,1,20999.3,12,18479.38,Debit Card,Delivered,R08
ORD10087,16-08-2020,C0177,P029,4,2799.3,0,11197.2,Cash,Delivered,R05
ORD10088,29-04-2020,C0416,P021,4,909.3,5,3455.34,UPI,Delivered,R14
ORD10089,06-04-2020,C0052,P004,1,20999.3,10,18899.37,Net Banking,Delivered,R03
ORD10090,26-11-2020,C0199,P013,4,122.5,15,416.5,UPI,Delivered,R07
ORD10091,19-05-2020,C0015,P016,10,80.5,0,805,Debit Card,Delivered,R03
ORD10092,18-12-2020,C0159,P001,1,17499.3,0,17499.3,Credit Card,Delivered,R04
ORD10093,11-07-2020,C0470,P013,3,122.5,10,330.75,Cash,Delivered,R14
ORD10094,05-10-2020,C0397,P009,1,7699.3,10,6929.37,Debit Card,Delivered,R15
ORD10095,11-08-2020,C0155,P003,2,15399.3,8,28334.71,UPI,Delivered,R10
ORD10096,29-08-2020,C0476,P016,10,80.5,10,724.5,Cash,Delivered,R13
ORD10097,05-10-2020,C0091,P020,10,168,5,1596,Cash,Delivered,R14
ORD10098,20-11-2020,C0114,P012,3,294,10,793.8,Debit Card,Delivered,R17
ORD10099,06-12-2020,C0326,P022,3,2449.3,2,7200.94,Cash,Delivered,R15
ORD10100,12-10-2020,C0132,P021,4,909.3,12,3200.74,Debit Card,Cancelled,R04
ORD10101,16-11-2020,C0452,P019,2,574,20,918.4,Credit Card,Returned,R12
ORD10102,22-09-2020,C0116,P002,2,59499.3,0,118998.6,UPI,Cancelled,R05
ORD10103,06-01-2020,C0455,P012,6,294,12,1552.32,Debit Card,Delivered,R04
ORD10104,20-09-2020,C0456,P011,6,209.3,0,1255.8,Net Banking,Delivered,R05
ORD10105,30-08-2020,C0374,P015,4,185.5,0,742,Cash,Delivered,R09
